&a / °	I1 / %
1.556	23.4
1.550	20.1
1.545	16.8
1.540	13.8
1.534	11.6
1.529	9.6
1.524	8.1
1.518	6.9
1.513	6.0
1.508	5.3
1.502	4.8
1.497	4.4
1.492	4.2
1.486	4.0
1.481	4.0
1.476	3.8
1.470	3.6
1.465	3.6
1.460	3.5
1.454	3.4
1.449	3.4
1.444	3.3
1.438	3.3
1.433	3.3
1.428	3.4
1.422	3.4
1.417	3.5
1.411	3.5
1.406	3.6
1.401	3.6
1.395	4.0
1.390	4.1
1.385	4.6
1.379	5.2
1.374	5.9
1.369	6.7
1.363	7.5
1.358	8.8
1.353	10.5
1.347	12.9
1.342	16.1
1.337	20.3
1.331	25.1
1.326	30.1
1.321	34.4
1.315	36.8
1.310	37.6
1.305	36.8
1.299	35.3
1.294	33.4
1.289	31.0
1.283	28.0
1.278	24.8
1.273	21.5
1.267	18.4
1.262	15.6
1.256	13.2
1.251	11.1
1.246	9.2
1.240	7.6
1.235	6.3
1.230	5.1
1.224	4.4
1.219	4.0
1.214	4.0
1.208	4.0
1.203	4.0
1.198	4.0
1.192	4.0
1.187	4.0
1.182	4.0
1.176	4.0
1.171	3.9
1.166	3.8
1.160	3.7
1.155	3.6
1.150	3.6
1.144	3.6
1.139	3.6
1.134	3.6
1.128	3.6
1.123	3.6
1.118	3.6
1.112	3.6
1.107	3.6
1.101	3.6
1.096	3.8
1.091	4.0
1.085	4.0
1.080	4.0
1.075	4.3
1.069	4.5
1.064	4.9
1.059	5.2
1.053	5.6
1.048	6.0
1.043	6.6
1.037	7.2
1.032	8.0
1.027	9.1
1.021	10.4
1.016	11.9
1.011	14.0
1.005	16.4
1.000	19.6
0.995	23.5
0.989	27.8
0.984	32.3
0.979	36.7
0.973	40.1
0.968	42.6
0.962	43.9
0.957	44.1
0.952	43.2
0.946	41.2
0.941	38.3
0.936	34.9
0.930	31.7
0.925	28.9
0.920	26.1
0.914	23.3
0.909	20.3
0.904	17.5
0.898	14.8
0.893	12.8
0.888	11.2
0.882	10.0
0.877	9.2
0.872	8.7
0.866	8.1
0.861	7.7
0.856	7.2
0.850	6.8
0.845	6.4
0.840	6.0
0.834	5.6
0.829	5.4
0.823	5.0
0.818	4.7
0.813	4.4
0.807	4.4
0.802	4.4
0.797	4.4
0.791	4.4
0.786	4.4
0.781	4.0
0.775	4.0
0.770	4.0
0.765	4.0
0.759	4.0
0.754	4.0
0.749	4.0
0.743	4.0
0.738	3.9
0.733	3.8
0.727	3.7
0.722	3.6
0.717	3.6
0.711	3.6
0.706	3.6
0.701	3.6
0.695	3.6
0.690	3.6
0.684	3.6
0.679	3.6
0.674	3.6
0.668	3.6
0.663	3.6
0.658	3.6
0.652	3.6
0.647	3.8
0.642	3.9
0.636	4.0
0.631	4.0
0.626	4.0
0.620	4.0
0.615	4.0
0.610	4.0
0.604	4.3
0.599	4.4
0.594	4.7
0.588	4.8
0.583	5.0
0.578	5.1
0.572	5.3
0.567	5.6
0.561	5.7
0.556	6.0
0.551	6.2
0.545	6.4
0.540	6.8
0.535	7.2
0.529	7.5
0.524	7.8
0.519	8.2
0.513	8.6
0.508	8.9
0.503	9.2
0.497	9.7
0.492	10.5
0.487	11.3
0.481	12.2
0.476	13.1
0.471	14.2
0.465	15.3
0.460	16.4
0.455	17.7
0.449	19.1
0.444	20.7
0.438	22.5
0.433	24.5
0.428	26.5
0.422	28.5
0.417	30.4
0.412	32.5
0.406	34.8
0.401	37.1
0.396	39.2
0.390	41.0
0.385	42.7
0.380	44.2
0.374	45.4
0.369	46.5
0.364	47.5
0.358	48.2
0.353	48.6
0.348	48.7
0.342	48.7
0.337	48.4
0.332	48.0
0.326	47.5
0.321	46.8
0.316	46.0
0.310	45.2
0.305	44.3
0.299	43.3
0.294	42.3
0.289	41.2
0.283	40.0
0.278	38.9
0.273	37.7
0.267	36.5
0.262	35.6
0.257	34.5
0.251	33.6
0.246	32.8
0.241	32.0
0.235	31.0
0.230	30.2
0.225	29.3
0.219	28.4
0.214	27.6
0.209	26.8
0.203	26.1
0.198	25.5
0.193	24.8
0.187	24.0
0.182	23.6
0.176	23.1
0.171	22.5
0.166	21.9
0.160	21.4
0.155	20.8
0.150	20.4
0.144	20.1
0.139	19.7
0.134	19.5
0.128	19.2
0.123	18.9
0.118	18.6
0.112	18.4
0.107	18.0
0.102	17.8
0.096	17.4
0.091	17.2
0.086	17.2
0.080	17.2
0.075	17.0
0.070	16.8
0.064	16.7
0.059	16.6
0.053	16.5
0.048	16.4
0.043	16.4
0.037	16.4
0.032	16.4
0.027	16.4
0.021	16.4
0.016	16.4
0.011	16.4
0.005	16.4
0.000	16.6
-0.005	16.5
-0.011	16.5
-0.016	16.5
-0.021	16.5
-0.027	16.5
-0.032	16.4
-0.037	16.4
-0.043	16.5
-0.048	16.8
-0.053	16.8
-0.059	17.0
-0.064	17.3
-0.070	17.6
-0.075	18.0
-0.080	18.4
-0.086	18.7
-0.091	18.8
-0.096	18.9
-0.102	18.9
-0.107	19.2
-0.112	19.6
-0.118	20.1
-0.123	20.8
-0.128	21.5
-0.134	21.9
-0.139	22.3
-0.144	22.7
-0.150	23.1
-0.155	23.6
-0.160	24.3
-0.166	24.8
-0.171	25.2
-0.176	25.7
